,target,target_country,source,source_country,fee,fee_cleaned,season,transfer_period
0,1.FC Saarbrücken,Germany,Hamburger SV,Germany,€150Th.,0.15,1992/1993,Summer
1,1.FC Saarbrücken,Germany,FC Schalke 04,Germany,free transfer,0.0,1992/1993,Summer
2,1.FC Saarbrücken,Germany,Karlsruher SC,Germany,?,,1992/1993,Summer
3,1.FC Saarbrücken,Germany,RCD Espanyol Barcelona,Spain,?,,1992/1993,Summer
4,SG Wattenscheid 09,Germany,Bayer 04 Leverkusen,Germany,free transfer,0.0,1992/1993,Summer
5,Bayer 05 Uerdingen,Germany,1.FC Kaiserslautern,Germany,free transfer,0.0,1992/1993,Summer
6,Bayer 05 Uerdingen,Germany,Borussia Dortmund,Germany,?,,1992/1993,Summer
7,SV Werder Bremen,Germany,Hamburger SV,Germany,€1.00m,1.0,1992/1993,Summer
8,VfB Stuttgart,Germany,1.FC Nuremberg,Germany,€1.25m,1.25,1992/1993,Summer
9,VfB Stuttgart,Germany,Bayern Munich,Germany,free transfer,0.0,1992/1993,Summer
10,Karlsruher SC,Germany,Bayern Munich,Germany,€700Th.,0.7,1992/1993,Summer
11,Karlsruher SC,Germany,Dinamo Moscow,Russia,?,,1992/1993,Summer
12,Hamburger SV,Germany,SV Werder Bremen,Germany,loan transfer,,1992/1993,Summer
13,Hamburger SV,Germany,Bayern Munich,Germany,loan transfer,,1992/1993,Summer
14,FC Schalke 04,Germany,Bayern Munich,Germany,free transfer,0.0,1992/1993,Summer
15,FC Schalke 04,Germany,1.FC Kaiserslautern,Germany,?,,1992/1993,Summer
16,Bayern Munich,Germany,Borussia Dortmund,Germany,€3.75m,3.75,1992/1993,Summer
17,Bayern Munich,Germany,Bayer 04 Leverkusen,Germany,€2.80m,2.8,1992/1993,Summer
18,Bayern Munich,Germany,Karlsruher SC,Germany,€2.50m,2.5,1992/1993,Summer
19,Bayern Munich,Germany,Inter Milan,Italy,€2.00m,2.0,1992/1993,Summer
20,Bayern Munich,Germany,SG Wattenscheid 09,Germany,free transfer,0.0,1992/1993,Summer
21,Borussia Mönchengladbach,Germany,FC Nantes,France,?,,1992/1993,Summer
22,Borussia Dortmund,Germany,Juventus FC,Italy,€2.10m,2.1,1992/1993,Summer
23,Borussia Dortmund,Germany,Eintracht Frankfurt,Germany,?,,1992/1993,Summer
24,Borussia Dortmund,Germany,FC Schalke 04,Germany,?,,1992/1993,Summer
25,Borussia Dortmund,Germany,FC Schalke 04,Germany,?,,1992/1993,Summer
26,Bayer 04 Leverkusen,Germany,SG Dynamo Dresden,Germany,free transfer,0.0,1992/1993,Summer
27,Bayer 04 Leverkusen,Germany,1.FC Kaiserslautern,Germany,loan transfer,,1992/1993,Summer
28,1.FC Nuremberg,Germany,SG Dynamo Dresden,Germany,€600Th.,0.6,1992/1993,Summer
29,1.FC Nuremberg,Germany,VfB Stuttgart,Germany,loan transfer,,1992/1993,Summer
30,1.FC Kaiserslautern,Germany,1.FC Nuremberg,Germany,€500Th.,0.5,1992/1993,Summer
31,1.FC Kaiserslautern,Germany,SG Wattenscheid 09,Germany,"End of loanJun 30, 1992",,1992/1993,Summer
32,SG Dynamo Dresden,Germany,VfB Stuttgart,Germany,?,,1992/1993,Summer
